id,name,domain,owner,division_id
1221,SATD-H5PNP21,PEROOT,USALDJO,\N
1222,SATD-HB7YN91,PEROOT,USALDJO,\N
1223,SAOTXWL-Z69JRD1,PEROOT,USEO9DA,\N
1227,SATD-HLQNP21,PEROOT,USALDJO,\N
1228,SAOTXWL-FLJ9G1,PEROOT,UVELAED,\N
1229,SAOTXWW-CZP7T91,PEROOT,UVELAED,\N
1230,SATD-2X84231,PEROOT,UVELAED,\N
1232,SAOTXWW-GX1M1G1,PEROOT,UKINGJ4,\N
1235,SATD-50Q7T91,MEASSVCS,UVELAED,\N
1236,SATD-G3T4J11,PEROOT,UVELAED,\N
1237,SATD-JV84231,PEROOT,UVELAED,\N
1238,SAOTXWL-8GSTYB1,Peroot,USTCLBO,\N
1239,SAOTXWL-HJQB551,PEROOT,UARCEAL,\N
1240,SAOTXWL-6MSTYB1,PEROOT,UQUINK2,\N
1241,SAOTXWW-5MCS5D1,PEROOT,UMALLKA,\N
1243,SAOTXWL-C79KF41,Peroot,ULUCACH,\N
1245,SAOTXWL-CM58J71,PEROOT,UWANGC2,\N
1246,SATD-G87YN91,PEROOT,ULOPECO,\N
1247,SAOTXWL-8DR0181,PEROOT,UDOLEKI,\N
1248,SAOTXWL-329jrd1,PEROOT,UBOAZMI,\N
1250,SAOTXWL-b961tf1,PEROOT,UCHU9KW,\N
1252,SAOTXWW-GW47351,PEROOT,UASSALA,\N
1253,SATD-HTTHJF1,PEROOT,ULEOSLA,\N
1257,SAOTXWL-JFX3461,PEROOT,ustalke,\N
1258,SAOTXWL-9XD9X51,PEROOT,uyorkmi,\N
1260,SAOTXWL-4CRNHB1,PEROOT,uoneiti,\N
1262,PEM300758LIC,PEROOT,KirkRo,\N
1263,SAOTXWL-41N9PH1,Peroot,ulopeje,\N
1264,PEMQPLH1IC,PEROOT,SancFr,\N
1265,HASSATD-1621643,PEROOT,UODELDA,\N
1266,SAOTXMW-3099M1X,PEROOT,UODELDA,\N
1267,SAOTXWW-54J1J41,PEROOT,UODELDA,\N
1268,SAOTXWW-95J5B21,PEROOT,UODELDA,\N
1269,SAOTXWW-BNQNP21,PEROOT,UODELDA,\N
1270,SAOTXWW-DYC3P01,PEROOT,UODELDA,\N
